cell_line_name,alpha,beta,SF2,R2,AUC
SK-N-FI,0.152197185309997,0.0178345164263719,0.618171311,0.9882769,2.8616423317111
SCC-9,0.340016929429453,0.0,0.573034936,0.953858,1.99516728065019
SW1417,0.13632719932703,0.0,0.715107014,0.9724446,4.52393016001452
TOV-21G,0.577991187928065,0.0,0.133856517,0.7588854,0.965300599142741
SF268,0.254212778381998,0.0088144836163645,0.564047759,0.9795675,2.32716827572124
AsPC-1,0.273444506509218,0.0,0.587614264,0.9940615,2.54466448035612
HLF,0.35449981396295,0.0,0.395721909,0.8980615,1.89747792633592
JHH-2,0.0402119823565062,0.0159039558619436,0.882102875,0.9934182,4.62630237069603
HPAF-II,0.210650446719985,0.0,0.55283986,0.9666583,3.26794785857617
Daoy,0.302005647029015,0.0262925237895803,0.447901117,0.8878929,1.58358644223293
OVISE,0.183635262935652,0.0,0.619015905,0.8967227,3.66401058505008
CJM,0.161003881166851,0.0246098657472902,0.802657129,0.9644966,2.50019700781701
SK-N-MC,0.31963068780464,0.0401887816078335,0.491351704,0.99463,1.32035332707682
HCC1937,0.0725232137712657,0.0,0.64302206,0.2015001,6.14743861154781
C2BBe1,0.171617700707533,0.0,0.476555125,0.4762825,3.8606104922055
647-V,0.182490915656461,0.0376730748007421,0.694002257,0.9806899,1.94993405505336
HOP-92,0.204496556573606,0.0,0.696237316,0.9829181,3.35298019109122
SNU-182,0.15983362716916,0.012799336316775,0.750443041,0.9942645,3.05923509450313
NCI-H1650,0.369017480971152,0.0,0.305255951,0.7784597,1.80600031450831
KNS-62,0.147226595042542,0.0163095294610579,0.721241667,0.9809116,2.99274588142968
JHOS-2,0.217508159844463,0.0,0.619934627,0.9874742,3.17653441976716
SK-MEL-5,0.124254526629067,0.0106381796415064,0.788908749,0.8959525,3.67497094307397
COV644,0.0817971056441329,0.0,0.764133668,0.9125878,5.86980091934746
NCI-H2342,0.114165567412561,0.0,0.634946962,0.5703212,5.01745235804733
HCC1806,0.117666080848655,0.0259209205311292,0.823472401,0.9709408,2.83957573229022
Hs 944.T,0.380812037103426,0.0,0.485103165,0.9588999,1.73607029427849
MG-63,0.470796699547422,0.0,0.464364273,0.9797535,1.30731890260452
KP-3,0.143294854774005,0.0180176102772727,0.764194308,0.9944615,2.95396914831551
SW1463,0.287115045508763,0.0,0.641719877,0.9773206,2.41642389395422
CAL-78,0.14085526494631,0.0150293751800618,0.791998508,0.9881995,3.15074426578621
KE-39,0.144044206727816,0.0,0.79914847,0.8808158,4.36689847728437
Hs 839.T,0.101981042506285,0.0,0.663339322,0.1368481,5.31847244607755
CL-34,0.214298395697848,0.0,0.672590198,0.9284366,3.21889121064393
HCC-1438,0.0,0.04880105928216,0.864685125,0.9956865,3.0205953682496
NCI-H1781,0.470786347430396,0.0,0.129320704,0.6819115,1.30735939733267
SNU-46,0.111800442190887,0.0,0.654470794,0.7965018,5.07414028207305
SK-BR-3,0.19309886053141,0.0,0.562613764,0.9552617,3.51838272096822
BICR 16,0.174455080157919,0.0055162477899931,0.661657067,0.9880323,3.35106917693512
SNU-407,0.376448285667133,0.0,0.363001356,0.7480636,1.76150360348126
SNU-C5,0.356730740886831,0.0,0.325330628,0.7664521,1.88301454905884
SNU-387,0.190301748032152,0.0072353891916242,0.71929035,0.9879358,3.03506656416115
NCI-H1373,0.226956065227611,0.0,0.623394928,0.9386294,3.05609023874355
BICR 31,0.154735692863559,0.0,0.602706552,0.8845968,4.16084905649481
HEC-1-A,0.305618862178755,0.0,0.518870418,0.9784094,2.25640717942573
RCM-1,0.170924529470618,0.0056470771762672,0.658274899,0.9893657,3.38977855492709
SNU-C4,0.346997207637313,0.0,0.492937792,0.9587147,1.94724737684352
TE 125.T,0.421144970842296,0.0,0.55543346,0.9822733,1.52315742622131
COV362,0.160082831963652,0.0,0.643404395,0.9598966,4.06254591314757
PK-59,0.348384009939322,0.0,0.538310157,0.9927637,1.93791455879434
HCC-2108,0.386118959279089,0.0,0.495303075,0.9905336,1.70581293035763
BICR 6,0.365085573425926,0.0,0.348698173,0.9142591,1.83016914519744
TE-8,0.219435924371872,0.0136748736282876,0.56151022,0.9941884,2.42631716165198
Caov-3,0.312033112206353,0.0,0.475515725,0.9157314,2.2043004885452
GB-1,0.501274097840754,0.0,0.349384225,0.9781119,1.19516594102527
HOS,0.260150186701216,0.0257511172745846,0.565809961,0.9907254,1.80078692737482
JHOM-1,0.00891268064604,0.0203505100851639,0.878895088,0.9916528,4.76642221030873
TM-31,0.244842690652623,0.0,0.651603354,0.9511853,2.84426801390539
769-P,0.206046887163279,0.0113358271932191,0.599453291,0.9802434,2.64759613610692
OV7,0.253384170596246,0.0,0.589733901,0.9013251,2.7369614938264
LS 180,0.343621776599718,0.0,0.159367544,0.6435129,1.97022123529051
OVTOKO,0.209490600054997,0.0,0.636503955,0.9275379,3.28375330355353
T98G,0.0,0.0448690453857069,0.747601872,0.9860837,3.18710506446057
KYSE-450,0.0,0.0351693450150122,0.954213692,0.953071,3.69946737256966
EFM-192A,0.0568011029163443,0.0029892286773293,0.881823615,0.9889565,6.05539367031843
Hs 895.T,0.135556915905146,0.0,0.505164574,-0.09905421,4.54000397967964
PK-1,0.123921729785114,0.0159030532266704,0.894612839,0.9819271,3.30439460637439
NCI-H661,0.0399716805537424,0.016260489359903,0.860564486,0.9824816,4.59292825932112
MHH-ES-1,0.509535527777025,0.0023644891376495,0.391824342,0.9811221,1.13709609551608
